id,id_genero,titulo,resumo,lancamento,idioma_original,poster
105,"[12, 35, 878]",Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",1985-07-03,en,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg
630566,"[10402, 18, 10749]",Clouds,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",2020-10-09,en,/d0OdD1I8qAfETvE9Rp9Voq7R8LR.jpg
25237,"[18, 10752]",Come and See,"The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",1985-07-09,ru,/qNbMsKVzigERgJUbwf8pKyZogpb.jpg
16672,"[18, 53]",Woman in the Dunes,An entomologist suffers extreme psychological and sexual torture after being taken captive by the residents of a poor seaside village.,1964-02-15,ja,/f0JpsMQ9oEjKBD66Ky3qK3z7LGT.jpg
3082,"[35, 18]",Modern Times,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1936-02-05,en,/7uoiKOEjxBBW0AgDGQWrlfGQ90w.jpg
447362,"[18, 10749]",Life in a Year,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",2020-11-27,en,/bP7u19opmHXYeTCUwGjlLldmUMc.jpg
568300,[10402],BTS World Tour: Love Yourself in Seoul,Shot at the Olympic Stadium in Seoul during the BTS World Tour ‘Love Yourself’ to celebrate the seven members of the global boyband and their unprecedented international phenomenon.,2019-01-26,ko,/1u0rtWPgYfAWmqveXOsQDvMRODD.jpg
897429,"[18, 10402]",All Too Well: The Short Film,Short film featuring the extended version of the song “All Too Well” by Taylor Swift. A troubled couple's romance blossoms before it eventually falls apart.,2021-11-12,en,/zfgHyodGNdtBxO8R7d0qmR2JSEz.jpg
527641,"[10749, 18]",Five Feet Apart,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",2019-03-14,en,/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg
20334,"[35, 18, 10749]",The Shop Around the Corner,"Two employees at a gift shop can barely stand one another, without realising that they are falling in love through the post as each other's anonymous pen pal.",1940-01-12,en,/dZ1aEzGYRiqJwPfjS6VL7wUkHmF.jpg
335,"[18, 37]",Once Upon a Time in the West,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",1968-12-21,it,/qbYgqOczabWNn2XKwgMtVrntD6P.jpg
632632,"[16, 18, 10402, 10749]",Given,"The relationship between a band's bassist, their drummer, and the drummer’s roommate and ex-boyfriend, who is a professional violinist.",2020-08-22,ja,/3trPz7muDOv4AHjDZiD3MLGls2Q.jpg
795607,"[16, 14, 28, 12]",Green Snake,"While trying to free her sister from Fahai's clutches, Xiao Qing winds up in a dystopian city and meets a mysterious man who can't recall his past life.",2021-07-23,zh,/1zs5zsQDP5KuWwxIg9EUULLFEV.jpg
283566,"[16, 28, 878, 18]",Evangelion: 3.0+1.0 Thrice Upon a Time,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.",2021-03-08,ja,/g7xEBLb5hOTPpjQxIMrCNWbnjna.jpg
10494,"[16, 53]",Perfect Blue,"Pop singer Mima Kirigow looks forward to a bright new career when she quits her chart-topping trio to become an actress. When she lands a role in a sexually charged murder mystery, Mima’s life begins to fall apart.",1997-07-25,ja,/hwCTlm990H6NlrG8W7sk3pxdMtf.jpg
29259,"[80, 18, 53, 36]",Le Trou,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.",1960-03-18,fr,/8kxtOm7D992iAaOzUoWmNQwbXjs.jpg
315162,"[16, 10751, 14, 12, 35]",Puss in Boots: The Last Wish,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",2022-12-07,en,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg
28,"[18, 10752]",Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",1979-08-15,en,/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg
10376,"[18, 10402, 10749]",The Legend of 1900,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 (Tim Roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",1998-10-28,it,/iOcbJ5pxokOPDRgieVDbsFMrCc6.jpg
361743,"[28, 18]",Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",2022-05-24,en,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg
637920,[18],Miracle in Cell No. 7,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",2019-10-10,tr,/bOth4QmNyEkalwahfPCfiXjNh1r.jpg
